cui_1,relship,cui_2
C3897254,PRECEDES,C0199176
C3897254,PRECEDES,C0282638
C0008809,NEG_TREATS,C0004611
C0008809,NEG_TREATS(SPEC),C0014834
C0008809,NEG_TREATS(SPEC),C0085483
C0008809,NEG_TREATS(SPEC),C0315286
C0014834,ISA,C0004611
C0085483,ISA,C0004611
C0315286,ISA,C0004611
C0149801,PROCESS_OF,C0030705
C1708385,PROCESS_OF,C0030705
C0004610,PROCESS_OF,C0009054
C0004610,ISA,C0221198
C0004610,PROCESS_OF(SPEC),C0030705
C0221198,PROCESS_OF,C0030705
C0017185,CAUSES,C0014335
C0009402,ISA,C0006826
C0009402,PRECEDES,C0235974
C0009402,PROCESS_OF(SPEC),C0030705
C0021853,LOCATION_OF,C0332448
C0085273,COEXISTS_WITH,C0686744
C3470196,PART_OF,C0086776
C0085273,PROCESS_OF,C0870221
C0005558,DIAGNOSES,C0019829
C3470196,ASSOCIATED_WITH,C0598766
C0005775,PROCESS_OF,C0030705
C0392920,ADMINISTERED_TO,C0030705
C0282583,PROCESS_OF,C0599752
C0030705,LOCATION_OF,C0178913
C0282583,PROCESS_OF,C0030705
C1418610,AFFECTS,C0017952
C1418610,AFFECTS,C0086982
C0006826,ISA,C0012634
C1418610,ASSOCIATED_WITH,C0006826
C1418610,ASSOCIATED_WITH,C0012634
C1418610,ASSOCIATED_WITH(SPEC),C0006826
C0038525,PROCESS_OF,C0030705
C0040590,TREATS,C0264490
C0040590,ADMINISTERED_TO,C0030705
C4329809,PROCESS_OF,C0030705
C0040590,AFFECTS,C0264490
C0004610,PROCESS_OF,C0008059
C0746883,PREDISPOSES,C0004610
C0004610,COEXISTS_WITH,C0746883
C0006826,ISA,C0027651
C0445625,ISA,C0445623
C0020649,PREDISPOSES,C0004610
C0039231,PREDISPOSES,C0004610
C0231835,PREDISPOSES,C0004610
C0041182,PROCESS_OF,C0030705
C0205851,PROCESS_OF,C0030705
C0683320,PROCESS_OF,C0030705
C0376545,AFFECTS,C0030705
C1011188,CAUSES,C0085082
C0521990,PROCESS_OF,C0030705
C0393080,TREATS,C0030705
C0750466,PROCESS_OF,C0030705
C1011188,CAUSES,C0750466
C1268551,TREATS,C0030705
C0015967,PROCESS_OF,C1516213
C2744535,CAUSES,C0004610
C0014834,ISA,C0018150
C4076168,CAUSES,C0004610
C0006826,AFFECTS,C0036690
C1875730,compared_with,C0001924
C3177188,TREATS,C1516213
C0001924,INTERACTS_WITH,C1875730
C1875730,compared_with,C1875730
C1719672,PROCESS_OF,C1516213
C0001924,ADMINISTERED_TO,C0030705
C0073385,ADMINISTERED_TO,C0030705
C0035273,USES,C1875730
C1875730,TREATS,C1516213
C1875730,TREATS(INFER),C0036690
C0023530,AFFECTS,C4534318
C4534318,PROCESS_OF,C0030705
C0000768,COEXISTS_WITH,C0039082
C0000768,COEXISTS_WITH(SPEC),C0024291
C0024291,ISA,C0039082
C0024291,ISA,C0012634
C0024291,PROCESS_OF,C0030705
C0744471,PROCESS_OF,C0008059
C0587437,LOCATION_OF,C0035363
C0472699,TREATS(INFER),C0376545
C0744471,COEXISTS_WITH,C0023530
C0744471,COEXISTS_WITH,C0376545
C0000731,COEXISTS_WITH,C0009806
C0003617,LOCATION_OF,C0334277
C1373218,COEXISTS_WITH,C3495919
C0020971,TREATS,C0030705
C0021708,LOCATION_OF,C0001554
C0003483,LOCATION_OF,C0184252
C0014118,PROCESS_OF,C0028240
C0036690,PROCESS_OF,C0028240
C0028240,CAUSES,C0004610
C0028242,PROCESS_OF,C0030705
C0003483,LOCATION_OF,C1142550
C0006142,PROCESS_OF,C0030705
C1142550,PROCESS_OF,C0030705
C0011860,PROCESS_OF,C0030705
C0019993,TREATS,C0030705
C0019993,TREATS(INFER),C0011860
C0242379,PROCESS_OF,C0030705
C0035204,PREDISPOSES,C3698200
C0031154,PROCESS_OF,C0030705
C2744535,PREDISPOSES,C3698200
C0184893,TREATS,C0030705
C0184893,TREATS,C0031154
C0199470,PREDISPOSES,C3698200
C0282638,TREATS,C0030705
C0282638,TREATS(INFER),C0006826
C0013216,ADMINISTERED_TO,C0001675
C0362063,PROCESS_OF,C0001675
C0362063,PROCESS_OF,C0030705
C0472699,ADMINISTERED_TO,C0001675
C0472699,ADMINISTERED_TO,C0030705
C0023530,PROCESS_OF,C4288965
C0041044,compared_with,C0003232
C0949665,compared_with,C0041044
C0282386,compared_with,C0008809
C0949665,compared_with,C3536856
C3536856,compared_with,C0003232
C0949665,NEG_AFFECTS,C1262313
C0949665,AFFECTS,C0004610
C0041044,PREVENTS,C0004610
C0949665,PREVENTS,C0004610
C3536856,PREVENTS,C0004610
C0005558,ADMINISTERED_TO,C0030705
C1764827,PART_OF,C0486433
C0006968,ADMINISTERED_TO,C0030705
C0013216,USES,C0215136
C0011065,AFFECTS,C3714514
C0679246,PROCESS_OF,C0030705
C0022877,LOCATION_OF,C0043227
C0876973,PROCESS_OF,C0030705
